Datos_Completos
age,gender,Academic_Level,Country,avg_daily_usage_hours,Most_Used_Platform,affects_academic_performance,sleep_hours_per_night, mental_health_score ,relationship_status_single,conflicts_over_social_media,addicted_score
23,Male,University Higher Technician,Mexico,2,TikTok,0,9,10,Single,0,7
23,Male,Engineer,Mexico,6,Instagram,0,6,2,Single,5,10
29,Male,Engineer,Mexico,4,WhatsApp,1,6,8,In a relationship,0,10
23,Female,Engineer,Mexico,5,Instagram,0,8,9,In a relationship,0,1
23,Female,University Higher Technician,Mexico,4,Instagram,0,7,8,Single,0,7
24,Female,Preparatory,Mexico,8,Instagram,1,4,3,Single,0,5
24,Male,Engineer,Mexico,1,Instagram,0,6,10,Single,0,10
14,Male,Secondary,Mexico,2,Instagram,0,8,9,In a relationship,1,6
16,Male,Secondary,Mexico,12,TikTok,0,8,5,Married,0,3
16,Male,Secondary,Mexico,12,TikTok,0,8,5,Married,0,3
25,Female,University Higher Technician,Mexico,2,Instagram,0,8,10,In a relationship,0,7
24,Male,University Higher Technician,Mexico,1,Instagram,0,8,10,Single,0,2
25,Male,Engineer,Mexico,2,Instagram,0,8,10,In a relationship,0,5
23,Male,Preparatory,Mexico,1,TikTok,1,10,9,Single,0,3
26,Female,University Higher Technician,Mexico,6,Facebook,0,8,10,Married,0,10
34,Female,Primary,Mexico,4,Facebook,0,6,8,Married,0,4
19,Female,University Higher Technician,Mexico,3,TikTok,0,7,10,Single,0,9
19,Female,University Higher Technician,Mexico,3,TikTok,0,7,10,Single,0,9
21,Female,University Higher Technician,Mexico,5,Instagram,0,7,8,Single,0,2
21,Female,Engineer,Mexico,2,Instagram,0,8,8,Single,0,2
19,Female,Engineer,Mexico,6,Instagram,0,6,7,In a relationship,0,4
22,Female,University Higher Technician,Mexico,2,Pinterest,0,7,9,Married,0,3
22,Female,University Higher Technician,Mexico,2,Pinterest,0,7,9,Married,0,3
15,Male,Secondary,Mexico,5,Instagram,0,10,10,Single,1,9
51,Female,Preparatory,Mexico,4,WhatsApp,0,8,9,In a relationship,0,5
52,Female,Engineer,Mexico,3,Facebook,0,8,8,Single,0,6
19,Male,Engineer,Mexico,7,YouTube,1,5,7,Single,0,1
43,Male,Preparatory,Mexico,3,WhatsApp,0,8,10,In a relationship,0,4
47,Female,University Higher Technician,Mexico,5,WhatsApp,0,6,8,Single,0,2
24,Female,Engineer,USA,3,TikTok,0,8,8,In a relationship,0,3
24,Female,Engineer,Mexico,2,TikTok,0,8,8,In a relationship,0,10
57,Female,Secondary,Mexico,3,Facebook,0,8,10,Single,0,2
35,Male,graduate,Antigua y Barbuda,6,WhatsApp,0,8,10,Married,0,1
22,Male,Preparatory,Mexico,2,Facebook,0,8,8,In a relationship,0,4
23,Female,University Higher Technician,Mexico,3,TikTok,0,8,10,Single,0,9
23,Female,University Higher Technician,Mexico,3,TikTok,0,8,10,Single,0,9
35,Male,University Higher Technician,Mexico,3,TikTok,0,12,10,In a relationship,5,2
35,Male,University Higher Technician,Mexico,3,TikTok,0,12,10,In a relationship,5,2
35,Male,University Higher Technician,Mexico,3,TikTok,0,12,10,In a relationship,5,2
23,Female,University Higher Technician,Mexico,10,Instagram,0,0,9,In a relationship,0,5
23,Female,University Higher Technician,Mexico,10,Instagram,0,0,9,In a relationship,0,5
28,Female,University Higher Technician,Mexico,3,WhatsApp,0,6,9,Single,0,7
21,Male,Engineer,Mexico,2,Instagram,0,6,5,In a relationship,0,4
19,Female,Engineer,Mexico,4,Facebook,1,5,7,Single,0,8
19,Female,High_School,Mexico,6,TikTok,1,4,3,In a relationship,1,10
19,Male,High_School,Mexico,8,YouTube,1,8,9,Single,1,10
20,Female,Engineer,Mexico,9,TikTok,1,7,8,Single,1,10
19,Male,Engineer,Mexico,5,Instagram,1,4,4,In a relationship,0,9
19,Female,Engineer,Mexico,3,Instagram,0,5,4,In a relationship,0,6
22,Male,High_School,Mexico,1,TikTok,1,6,9,In a relationship,1,6
20,Male,Engineer,Mexico,7,TikTok,1,8,6,In a relationship,0,10
20,Male,graduate,Mexico,4,LinkedIn,1,11,4,Single,1,10
20,Female,graduate,Mexico,2,Instagram,0,5,4,Single,0,3
21,Female,High_School,Mexico,3,Instagram,0,8,8,In a relationship,0,5
25,Female,Engineer,Mexico,2,YouTube,0,6,6,In a relationship,0,3
21,Female,Engineer,Mexico,4,TikTok,1,8,3,Single,1,10
21,Female,Engineer,Mexico,5,TikTok,1,4,6,Single,0,10
21,Male,Engineer,Mexico,3,TikTok,1,8,5,In a relationship,1,10
21,Female,Engineer,Mexico,6,TikTok,1,7,4,Single,1,10
21,Female,Engineer,Mexico,6,TikTok,1,8,7,Single,1,10
18,Male,graduate,Mexico,4,Instagram,1,6,4,Single,0,8
22,Female,High_School,Mexico,10,Instagram,1,6,9,In a relationship,1,10
20,Female,High_School,Mexico,3,TikTok,1,9,8,Single,1,10
21,Female,Engineer,Mexico,12,WhatsApp,1,7,9,In a relationship,1,10
19,Male,graduate,Mexico,10,TikTok,1,9,10,Single,1,10
21,Female,High_School,Mexico,10,TikTok,1,3,2,Single,1,10
20,Female,graduate,Mexico,5,TikTok,1,6,10,In a relationship,0,10
20,Female,Engineer,Mexico,7,TikTok,1,12,10,In a relationship,1,10
20,Male,graduate,Mexico,4,Facebook,1,7,5,In a relationship,0,8
19,Female,High_School,Mexico,3,TikTok,1,3,4,Single,1,9
22,Female,Engineer,Mexico,6,TikTok,1,7,7,In a relationship,1,10
20,Male,Engineer,Mexico,3,WhatsApp,0,8,6,In a relationship,0,5
20,Otro,graduate,Mexico,12,LinkedIn,1, -   ,10,Complicated,0,10
20,Male,Engineer,Mexico,4,Instagram,1,7,3,In a relationship,1,10
23,Female,Engineer,Bangladesh,5,Instagram,1,9,9,Single,1,10
20,Male,Engineer,Mexico,5,TikTok,1,8,8,In a relationship,1,10
25,Male,Engineer,Mexico,3,YouTube,1,7,8,In a relationship,1,10
16,Male,High_School,Mexico,2,TikTok,1,8,10,Single,1,8
43,Female,graduate,Mexico,1,WhatsApp,1,5,5,Single,1,5
17,Female,graduate,Mexico,4,WhatsApp,1,8,8,Single,1,10
24,Female,graduate,Mexico,5,TikTok,1,7,6,In a relationship,1,10
20,Female,Engineer,Mexico,4,WhatsApp,1,7,7,Single,1,10
18,Female,Engineer,Mexico,6,TikTok,1,6,3,Single,1,10
18,Male,Engineer,Mexico,5,TikTok,1,6,6,Single,1,10
20,Male,Engineer,Mexico,4,TikTok,1,6,8,Single,0,8
21,Female,graduate,USA,2,TikTok,1,8,8,In a relationship,1,8
20,Female,High_School,Mexico,2,TikTok,0,5,2,In a relationship,0,3
20,Male,Engineer,Mexico,12,TikTok,1, -   ,1,Single,1,10
22,Male,Engineer,Mexico,4,TikTok,1,8,8,Single,0,7
24,Male,graduate,Mexico,3,WhatsApp,0,7,10,Single,0,6
23,Male,graduate,Mexico,5,TikTok,1,7,7,Single,1,10
21,Female,Engineer,Mexico,4,TikTok,1,8,8,In a relationship,0,8
20,Male,Engineer,Brazil, -   ,TikTok,0, -   ,1,Single,0,0
23,Female,High_School,Mexico,6,TikTok,1,6,1,In a relationship,0,10
42,Female,High_School,Mexico,4,TikTok,1,10,5,In a relationship,1,10
17,Female,High_School,Mexico,4,TikTok,1,8,10,Single,0,8
22,Male,Engineer,Mexico,8,Instagram,1,9,8,Single,1,10
20,Male,Engineer,Mexico,12,TikTok,1, -   ,10,Complicated,0,10
17,Male,High_School,Mexico,3,TikTok,0,7,10,In a relationship,0,6
17,Female,High_School,Mexico,3,TikTok,0,5,6,In a relationship,0,5
21,Male,High_School,Mexico,3,TikTok,1,8,8,Single,1,10
19,Female,High_School,Mexico,5,TikTok,1,6,7,In a relationship,0,10
21,Female,Engineer,Mexico,5,TikTok,1,8,3,Single,0,10
26,Female,graduate,Mexico,4,Instagram,1,7,2,Single,1,10
20,Male,graduate,Mexico,9,Instagram,1,8,8,Single,1,10
21,Female,Engineer,Mexico,5,TikTok,1,8,10,Single,0,10
20,Male,Engineer,Mexico,8,TikTok,1,10,8,Single,1,10
20,Female,Engineer,Mexico,10,TikTok,1,10,2,Single,0,10
25,Male,graduate,Mexico,5,YouTube,1,6,4,In a relationship,0,10
20,Male,graduate,Mexico,3,TikTok,0,9,4,Single,0,6
24,Female,graduate,Mexico,9,Instagram,1,9,5,In a relationship,1,10
53,Male,Engineer,Mexico,3,Facebook,0,5,5,Complicated,0,6
18,Male,High_School,Mexico,3,TikTok,0,7,5,Single,0,6
19,Female,Engineer,Mexico,9,TikTok,1,8,6,In a relationship,1,10
18,Female,High_School,Mexico,4,YouTube,1,8,6,In a relationship,0,7
25,Male,graduate,Mexico,2,Instagram,1,6,4,In a relationship,1,7
30,Female,graduate,Mexico,3,YouTube,0,7,7,Complicated,0,5
21,Male,graduate,Mexico,2,WhatsApp,1,7,7,Single,1,8
21,Male,Engineer,Mexico,3,YouTube,1,9,8,Single,1,10
92,Male,graduate,Ecuador,10,TikTok,1,2,8,Single,0,10
19,Female,High_School,Mexico,5,TikTok,1,7,3,In a relationship,1,10
20,Male,Engineer,Mexico,4,Instagram,1,8,9,In a relationship,0,8
32,Female,graduate,Italy,1,Facebook,0,9,4,Complicated,0,2
20,Male,graduate,Mexico,10,TikTok,1,10,8,Single,1,10
21,Female,Engineer,Mexico,10,TikTok,1,5,7,In a relationship,0,10
19,Male,graduate,Mexico,8,TikTok,1,8,8,Single,0,10
22,Male,Engineer,Mexico,8,TikTok,1,7,7,Single,1,10
24,Female,Engineer,Mexico,7,TikTok,1,8,7,In a relationship,0,10
19,Female,High_School,Mexico,3,TikTok,1,8,4,Single,1,9
25,Male,Engineer,Mexico,2,WhatsApp,1,5,8,Single,1,7
28,Female,High_School,Mexico,5,TikTok,1,7,5,Complicated,0,9
20,Female,High_School,Mexico,5,Instagram,1,4,4,In a relationship,1,10
24,Female,Engineer,Mexico,4,Twitter (X),1,8,5,In a relationship,1,10
30,Male,graduate,Mexico,3,LinkedIn,0,6,4,In a relationship,0,5
21,Female,Engineer,Mexico,8,WhatsApp,1,8,7,Single,0,10
23,Female,Engineer,Mexico,5,TikTok,1,4,8,Single,1,10
18,Male,High_School,Mexico,5,Instagram,1,7,5,Single,0,9
19,Male,Engineer,Mexico,5,Instagram,1,8,5,In a relationship,1,10
18,Female,High_School,Mexico,8,Instagram,1,5,5,Single,0,10
17,Female,High_School,Mexico,4,TikTok,1,7,4,Single,1,10
18,Female,High_School,Mexico,7,TikTok,1,6,7,In a relationship,0,10
18,Female,High_School,Mexico,6,TikTok,1,7,9,Single,0,10
18,Female,High_School,Mexico,4,TikTok,1,7,5,Single,0,7
19,Female,Engineer,Mexico,5,TikTok,1,6,5,Single,0,9
17,Female,High_School,Mexico,4,Instagram,1,7,4,In a relationship,0,8
24,Female,High_School,Mexico,6,TikTok,1,9,6,In a relationship,0,10
22,Female,Engineer,Bolivia,5,TikTok,1,9,3,Single,0,10
22,Male,Engineer,Ecuador,1,Instagram,0,6,7,In a relationship,0,2
18,Male,High_School,Ukraine,4,Twitter (X),1,9,7,In a relationship,1,10
23,Female,Engineer,Mexico,4,Instagram,1,5,5,Single,0,7
25,Female,Engineer,Mexico,5,TikTok,1,8,7,In a relationship,1,10
24,Female,Engineer,Mexico,4,TikTok,1,8,4,Single,0,8
18,Female,Engineer,Mexico,4,Instagram,1,7,2,Single,2,7
22,Female,Engineer,Mexico,5,Instagram,1,7,1,Single,7,2
20,Female,Engineer,Mexico,4,TikTok,1,7,3,Single,7,3
18,Male,Engineer,Mexico,2,TikTok,0,7,1,Complicated,5,1
16,Female,Preparatory,Mexico,3,Facebook,1,6,3,Single,4,6
16,Male,Preparatory,Mexico,4,Twitter,1,6,7,Single,1,7
24,Male,Engineer,Mexico,3,Twitter,0,8,3,Single,5,9
17,Male,Preparatory,Mexico,4,TikTok,0,5,9,Single,4,6
21,Male,Engineer,Mexico,2,TikTok,1,6,6,Single,4,9
25,Male,Engineer,Mexico,3,TikTok,1,6,6,In a relationship,3,2
23,Female,Engineer,Mexico,5,Facebook,1,8,9,In a relationship,2,8
21,Female,Engineer,Mexico,4,TikTok,0,7,6,Single,3,2
23,Female,Engineer,Mexico,4,TikTok,0,6,2,Single,8,7
18,Male,Engineer,Mexico,3,TikTok,0,9,1,Single,7,4
20,Male,Engineer,Mexico,3,TikTok,0,7,1,Single,4,3
23,Male,Engineer,Mexico,4,Facebook,0,6,2,Single,4,6
21,Male,Engineer,Mexico,5,Facebook,1,6,10,Single,9,4
20,Male,Engineer,Mexico,5,Twitter,0,8,1,Single,4,4
25,Female,Engineer,Mexico,4,Instagram,0,7,7,Complicated,6,7
19,Female,Engineer,Mexico,4,Instagram,0,9,2,Single,7,2
16,Female,Engineer,Mexico,4,Facebook,0,5,10,Single,5,7
16,Female,Engineer,Mexico,5,Facebook,1,8,3,Single,7,3
19,Female,Engineer,Mexico,2,YouTube,0,8,1,Single,7,8
21,Female,Engineer,Mexico,5,Instagram,1,7,6,Single,3,2
21,Male,Engineer,Mexico,2,Instagram,1,6,1,Single,5,6
20,Male,Engineer,Mexico,4,Instagram,0,8,7,In a relationship,5,1
24,Female,Engineer,Mexico,2,Instagram,0,8,4,Single,4,6
20,Female,Engineer,Mexico,5,YouTube,1,5,9,Single,7,6
22,Male,Engineer,Mexico,3,Instagram,1,7,6,Single,5,7
25,Male,Engineer,Mexico,4,Instagram,0,6,8,Single,2,1
20,Female,Engineer,Mexico,2,Facebook,0,5,3,Single,2,1
23,Male,Engineer,Mexico,2,TikTok,0,8,10,Complicated,4,9
21,Female,Engineer,Mexico,3,TikTok,0,8,5,Complicated,7,7
21,Female,Engineer,Mexico,3,TikTok,1,9,7,Single,3,6
21,Female,Engineer,Mexico,4,Twitter,1,8,10,Single,1,3
22,Male,Engineer,Mexico,2,YouTube,0,4,1,Single,5,1
27,Male,Posgrado,Mexico,2,Instagram,0,8,9,In a relationship,1,2
22,Female,Engineer,Mexico,4,TikTok,0,9,3,In a relationship,4,2
20,Male,Engineer,Mexico,2,TikTok,1,8,2,Single,1,8
23,Female,Engineer,Mexico,4,TikTok,0,6,2,Single,4,5
22,Male,Engineer,Mexico,3,Twitter,0,8,7,Single,2,5
20,Female,Engineer,Mexico,4,TikTok,0,7,9,Single,7,3
18,Male,Engineer,Mexico,4,YouTube,0,7,4,Single,0,5
21,Female,Engineer,Mexico,3,YouTube,0,8,10,Single,4,8
19,Female,Engineer,Mexico,4,Twitter,0,8,3,In a relationship,9,3
22,Male,Engineer,Mexico,6,Facebook,1,8,6,Complicated,3,9
20,Female,Engineer,Mexico,3,Facebook,1,6,5,Single,5,1
21,Male,Engineer,Mexico,4,Facebook,1,6,6,Complicated,7,5
17,Female,Preparatory,Mexico,6,Facebook,1,5,10,Single,5,4
18,Male,Engineer,Mexico,3,Facebook,0,5,5,Single,7,7
24,Female,Engineer,Mexico,2,Facebook,0,5,9,Single,3,8
24,Male,Engineer,Mexico,5,YouTube,1,7,2,Single,3,3
20,Female,Engineer,Mexico,9,Facebook,0,8,5,Single,3,2
25,Female,Engineer,Mexico,2,TikTok,0,7,2,Single,3,6
18,Female,Engineer,Mexico,5,TikTok,0,7,7,Complicated,5,6
24,Female,Engineer,Mexico,6,Instagram,1,9,2,Complicated,2,6
25,Female,Engineer,Mexico,4,TikTok,0,6,9,Single,7,6
21,Male,Engineer,Mexico,3,Facebook,0,5,8,Single,6,3
17,Male,Preparatory,Mexico,3,TikTok,1,3,10,Single,2,7
20,Female,Engineer,Mexico,3,TikTok,1,9,7,Single,3,4
24,Male,Engineer,Mexico,5,TikTok,1,5,7,Complicated,6,2
21,Male,Engineer,Mexico,1,TikTok,1,4,4,Single,3,4
25,Male,Engineer,Mexico,5,Twitter,1,4,5,In a relationship,5,1
19,Male,Engineer,Mexico,4,Instagram,1,6,1,In a relationship,4,4
17,Male,Preparatory,Mexico,3,Instagram,0,10,8,Single,1,3
19,Female,Engineer,Mexico,5,TikTok,0,6,1,In a relationship,4,4
15,Male,Secundaria,Mexico,5,Twitter,0,7,2,Single,6,5
21,Male,Engineer,Mexico,4,TikTok,1,3,7,Single,6,8
13,Female,Secundaria,Mexico,6,Instagram,0,3,7,Single,8,7
20,Female,Engineer,Mexico,2,TikTok,1,4,7,Single,4,3
21,Female,Engineer,Mexico,2,YouTube,1,6,8,In a relationship,1,1
21,Male,Engineer,Mexico,1,YouTube,1,6,7,In a relationship,3,4
13,Male,Secundaria,Mexico,5,Twitter,0,8,6,Complicated,1,6
19,Male,Engineer,Mexico,2,YouTube,0,6,9,In a relationship,4,9
21,Female,Engineer,Mexico,5,YouTube,0,5,4,Single,8,4
19,Female,Engineer,Mexico,7,Facebook,0,3,4,Complicated,6,8
19,Female,Engineer,Mexico,4,Twitter,1,6,5,Complicated,8,5
16,Female,Preparatory,Mexico,6,TikTok,0,9,7,Single,8,2
21,Male,Engineer,Mexico,3,YouTube,1,9,10,Complicated,6,3
21,Female,Engineer,Mexico,7,YouTube,0,5,5,Single,9,3
21,Female,Engineer,Mexico,3,YouTube,1,8,9,Single,5,9
21,Male,Engineer,Mexico,4,TikTok,0,8,5,Complicated,3,7
21,Male,Engineer,Mexico,6,TikTok,0,9,6,Single,8,2
21,Female,Engineer,Mexico,2,TikTok,1,7,5,Single,6,6
19,Male,Engineer,Mexico,4,TikTok,0,6,4,Single,6,2
20,Female,Engineer,Mexico,8,Facebook,1,7,3,Single,8,6
21,Male,Engineer,Mexico,1,YouTube,0,8,6,In a relationship,0,1
19,Male,Engineer,Mexico,4,Twitter,0,8,7,Complicated,7,9
15,Female,Secundaria,Mexico,1,TikTok,1,6,9,Single,9,8
25,Male,Engineer,Mexico,6,Facebook,1,8,1,Single,6,6
18,Female,Engineer,Mexico,6,TikTok,1,6,5,Single,2,2
21,Female,Engineer,Mexico,1,Instagram,1,5,4,Single,7,7
20,Female,Engineer,Mexico,3,Instagram,1,6,1,Single,2,3
21,Male,Engineer,Mexico,4,TikTok,1,6,2,Single,4,2
15,Male,Secundaria,Mexico,4,TikTok,1,8,1,Single,8,3
13,Female,Secundaria,Mexico,4,Instagram,0,9,2,Single,5,8
21,Male,Engineer,Mexico,3,Facebook,0,7,2,Single,2,8
20,Male,Engineer,Mexico,3,Facebook,0,9,1,Single,4,4
20,Female,Engineer,Mexico,2,YouTube,1,6,8,Single,2,6
21,Male,Engineer,Mexico,5,TikTok,0,7,7,Single,8,5
16,Male,Preparatory,Mexico,5,TikTok,0,8,4,Complicated,3,4
21,Male,Engineer,Mexico,3,Facebook,1,8,3,Complicated,9,8
21,Female,Engineer,Mexico,8,Facebook,0,7,1,In a relationship,3,9
17,Male,Preparatory,Mexico,2,TikTok,0,6,6,Complicated,7,8
19,Male,Engineer,Mexico,5,Instagram,0,9,2,In a relationship,4,4
21,Female,Engineer,Mexico,1,Instagram,1,9,4,Single,4,8
20,Female,Engineer,Mexico,6,TikTok,0,7,6,Single,5,8
19,Male,Engineer,Mexico,7,YouTube,1,4,2,Single,5,2
21,Female,Engineer,Mexico,2,TikTok,1,8,3,Single,8,3
14,Female,Secundaria,Mexico,4,YouTube,1,8,6,Single,2,3
19,Male,Engineer,Mexico,4,Facebook,1,10,8,Single,3,9
21,Female,Engineer,Mexico,2,Instagram,0,8,5,Complicated,3,8
16,Female,Preparatory,Mexico,4,Instagram,0,7,6,In a relationship,5,1
21,Male,University Higher Technician,Mexico,6,YouTube,0,5,6,Single,0,5
20,Male,University Higher Technician,Mexico,6,Instagram,0,11,8,In a relationship,1,5
20,Male,University Higher Technician,Mexico,5,TikTok,0,4,10,Single,2,2
21,Male,University Higher Technician,Mexico,4,TikTok,0,8,7,Single,1,6
20,Male,University Higher Technician,Mexico,2,Instagram,0,7,3,In a relationship,1,1
21,Other,Engineer,Guatemala,10,Instagram,0,4,1,In a relationship,1,8
30,Female,Preparatory,Mexico,3,Facebook,0,0,8,Married,1,4
24,Male,University Higher Technician,Colombia,7,Otra,1,7,7,Complicado,1,6
16,Female,Secondary,Mexico,0,Facebook,0,0,8,Single,1,0
19,Male,University Higher Technician,Colombia,18,Discord,0,6,5,Single,0,8
47,Male,Secondary,Mexico,6,Facebook,0,7,7,Married,0,6
25,Male,University Higher Technician,Ecuador,5,YouTube,0,5,5,Single,0,5
20,Female,Preparatory,Mexico,3,TikTok,0,8,10,In a relationship,0,3
9,Male,Primaria,Mexico,1,TikTok,0,9,10,Single,0,10
35,Male,Graduate,Mexico,6,WhatsApp,0,7,10,Single,0,4
17,Female,Preparatory,Mexico,6,TikTok,0,9,10,Single,3,8
20,Male,University Higher Technician,Mexico,1,YouTube,1,7,4,In a relationship,2,3
20,Female,University Higher Technician,Mexico,3,Instagram,1,10,7,In a relationship,0,8
31,Female,Secondary,Mexico,6,Facebook,1,7,8,Married,0,7
28,Male,Engineer,Mexico,3,Facebook,0,7,8,In a relationship,0,7
28,Male,Engineer,Mexico,3,Facebook,0,7,8,In a relationship,0,7
23,Male,University Higher Technician,Colombia,1,Discord,0,8,10,Complicado,2,1
36,Female,Graduate,Mexico,3,Facebook,0,7,10,Married,0,5
35,Male,Graduate,Mexico,8,WhatsApp,1,5,7,Single,5,10
17,Female,Preparatory,Mexico,4,TikTok,0,7,10,Single,3,3
17,Female,Preparatory,Mexico,4,TikTok,0,7,10,Single,3,3
20,Female,Preparatory,Mexico,10,Facebook,0,9,8,Single,1,7
20,Male,Preparatory,Mexico,5,TikTok,0,5,5,In a relationship,4,10
10,Male,University Higher Technician,Brasil,0,WhatsApp,0,10,10,In a relationship,5,10
33,Female,Graduate,Mexico,5,TikTok,0,8,10,Married,1,7
40,Female,University Higher Technician,Mexico,3,WhatsApp,0,7,10,Married,0,4
22,Male,Preparatory,Peru,3,Twitter,0,6,6,Single,0,7
19,Female,Secondary,Mexico,5,WhatsApp,0,8,8,Complicado,2,3
39,Female,Graduate,Mexico,5,Facebook,0,9,9,Married,0,5
21,Male,Preparatory,Peru,6,TikTok,0,7,7,Single,1,4
21,Male,University Higher Technician,Mexico,2,TikTok,1,8,9,In a relationship,0,3
21,Male,University Higher Technician,Mexico,2,TikTok,1,8,9,In a relationship,0,3
20,Male,Engineer,Mexico,3,TikTok,1,5,9,Single,3,5
20,Male,Engineer,Mexico,3,TikTok,1,5,9,Single,3,5
40,Female,Preparatory,Mexico,10,WhatsApp,0,8,10,Married,0,6
20,Male,University Higher Technician,Mexico,5,TikTok,0,8,10,Single,1,5
23,Male,University Higher Technician,Mexico,7,Facebook,0,7,10,In a relationship,1,10
52,Female,Secondary,Mexico,3,Facebook,0,7,8,Married,0,3
21,Female,Graduate,Mexico,6,WhatsApp,0,10,7,In a relationship,0,5
21,Female,Graduate,Mexico,6,WhatsApp,0,10,7,In a relationship,0,5
21,Female,Graduate,Mexico,10,TikTok,0,10,7,In a relationship,0,7
20,Female,Graduate,Mexico,4,TikTok,1,8,9,Single,0,6
20,Female,Graduate,Mexico,4,TikTok,1,8,9,Single,0,6
19,Male,Preparatory,Mexico,5,TikTok,0,8,7,Single,0,6
20,Female,University Higher Technician,Mexico,4,TikTok,0,8,7,Single,0,3
20,Female,University Higher Technician,Mexico,4,TikTok,0,8,7,Single,0,3
22,Male,Graduate,Mexico,3,YouTube,0,7,7,Single,2,6
20,Female,Graduate,Mexico,4,TikTok,0,7,7,Single,0,8
22,Female,Graduate,Mexico,4,Instagram,0,7,4,Single,3,8
20,Female,Graduate,Mexico,5,TikTok,0,6,4,Single,2,6
20,Female,Graduate,Mexico,5,TikTok,0,5,4,Single,2,4
22,Male,Graduate,Mexico,5,TikTok,0,4,8,Complicado,0,3
18,Female,Preparatory,Mexico,3,Facebook,0,10,10,Single,0,2
56,Male,Preparatory,Mexico,6,TikTok,0,5,7,Married,0,5
56,Female,University Higher Technician,Mexico,3,Facebook,0,7,9,Married,0,2
24,Female,Secondary,Mexico,5,Facebook,0,9,9,Married,0,5
65,Female,Secondary,Mexico,4,Facebook,0,7,8,Single,1,4
35,Male,Preparatory,Mexico,4,Facebook,0,8,10,Married,1,1
37,Female,Graduate,Mexico,5,WhatsApp,0,8,10,Single,0,1
26,Female,University Higher Technician,Mexico,3,YouTube,0,6,10,Single,0,2
17,Female,Preparatory,Mexico,4,TikTok,0,5,7,In a relationship,2,2
12,Male,Secondary,Mexico,2,TikTok,0,8,9,Single,0,5
38,Female,Preparatory,Mexico,5,Facebook,1,8,3,Complicado,5,3
35,Male,Preparatory,Mexico,7,Facebook,0,7,10,Married,1,5
29,Male,Graduate,Mexico,15,Facebook,0,7,8,Married,0,8
52,Female,Graduate,Mexico,1,WhatsApp,0,8,10,Married,0,1
22,Female,Graduate,Mexico,4,WhatsApp,0,7,9,In a relationship,0,6
20,Female,University Higher Technician,Mexico,4,TikTok,0,4,3,Single,2,3
59,Female,Preparatory,Mexico,1,WhatsApp,0,8,9,Married,1,2
23,Male,Secondary,Mexico,2,Facebook,0,6,10,Married,5,9
17,Male,Preparatory,Mexico,4,TikTok,0,6,6,Single,0,5
55,Female,Secondary,Mexico,1,YouTube,0,7,9,Married,1,1
19,Male,Preparatory,Mexico,4,WhatsApp,0,8,10,In a relationship,0,5
21,Female,University Higher Technician,Mexico,5,TikTok,0,7,3,Single,0,7
21,Female,Graduate,Mexico,2,TikTok,0,4,5,Single,0,8
21,Male,Preparatory,Mexico,4,TikTok,0,7,8,In a relationship,0,5
10,Male,Engineer,Mexico,5,Facebook,1,10,10,Single,0,10
39,Female,Secondary,Mexico,10,Facebook,0,6,10,In a relationship,0,3
18,Other,Preparatory,Mexico,4,TikTok,0,8,8,In a relationship,2,6
37,Female,Secondary,Mexico,7,WhatsApp,0,8,10,Married,0,5
20,Female,University Higher Technician,Mexico,6,TikTok,0,6,10,Complicado,2,8
18,Male,Preparatory,Mexico,7,TikTok,0,7,8,In a relationship,5,4
22,Female,University Higher Technician,Mexico,7,Instagram,0,6,7,Single,3,8
15,Male,Secondary,Mexico,3,WhatsApp,0,8,9,In a relationship,4,7
20,Male,University Higher Technician,Mexico,3,TikTok,0,8,8,Complicado,3,5
30,Male,Graduate,Mexico,8,LinkedIn,0,7,10,Married,2,5
15,Male,Secondary,Mexico,3,TikTok,0,8,8,Single,2,4
27,Female,Engineer,Mexico,4,WhatsApp,0,6,8,In a relationship,3,5
16,Female,Preparatory,Mexico,6,TikTok,0,8,8,Single,2,7
20,Male,University Higher Technician,Mexico,5,Instagram,0,8,10,In a relationship,3,6
10,Male,Primaria,Mexico,6,YouTube,0,8,9,Single,0,5
15,Male,Secondary,Mexico,5,YouTube,0,6,9,Single,0,6
9,Female,Primaria,Mexico,6,TikTok,0,7,8,Single,0,7
20,Female,University Higher Technician,Mexico,4,TikTok,0,7,8,In a relationship,3,5
52,Male,Preparatory,Mexico,4,Facebook,0,6,8,Married,0,6
40,Male,Engineer,Mexico,5,Discord,0,5,7,In a relationship,0,5
16,Female,Preparatory,Mexico,5,TikTok,0,8,10,In a relationship,5,5
17,Female,Preparatory,Mexico,3,TikTok,0,7,8,In a relationship,3,4
18,Female,Preparatory,Mexico,7,Instagram,0,8,9,Single,0,9
22,Male,Graduate,Mexico,8,whatsapp,0,7,7,In a relationship,0,7
21,Female,Graduate,Mexico,5,tiktok,0,7,7,Single,2,7
20,Male,Graduate,Mexico,4,tiktok,0,7,7,Complicado,0,7
20,Male,Graduate,Mexico,10,tiktok,10,11,8,In a relationship,0,7
22,Male,Graduate,Mexico,6,tiktok,10,6,7,Complicado,0,7
22,Male,Graduate,Mexico,6,tiktok,10,6,7,Complicado,0,7
21,Male,Graduate,Mexico,3,tiktok,0,7,7,Single,2,7
22,Male,Graduate,Mexico,5,tiktok,0,6,7,Single,0,7
21,Male,Graduate,Mexico,4,tiktok,0,6,7,Single,0,7
22,Male,Secondary,Mexico,4,instagram,10,7,7,Single,3,6
